ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
416.1,harvest,mon_L3_01,279.0,94.11,94.11
418.1,harvest,mon_L3_00,280.8,126.47,0.01
418.1,harvest,mon_L3_01,279.7,94.02,94.02
420.1,harvest,mon_L3_00,281.0,126.15,0.01
420.1,harvest,mon_L3_01,280.3,94.20,94.20
422.1,harvest,mon_L3_00,284.1,126.24,0.01
422.1,harvest,mon_L3_01,280.2,94.25,94.25
424.1,harvest,mon_L3_00,279.5,126.41,0.00
424.1,harvest,mon_L3_01,279.7,94.16,94.16
426.1,harvest,mon_L3_00,273.6,126.40,0.01
426.1,harvest,mon_L3_01,280.0,94.20,94.20
428.1,harvest,mon_L3_00,279.3,126.93,0.01
428.1,harvest,mon_L3_01,283.5,94.00,93.99
430.1,harvest,mon_L3_00,281.1,126.40,0.01
430.1,harvest,mon_L3_01,278.7,94.22,94.22
432.1,harvest,mon_L3_00,277.1,126.59,0.00
432.1,harvest,mon_L3_01,278.7,94.17,94.17
434.1,harvest,mon_L3_00,279.4,126.89,0.01
434.1,harvest,mon_L3_01,283.0,93.89,93.89
436.1,harvest,mon_L3_00,282.2,126.29,0.00
436.1,harvest,mon_L3_01,284.9,94.21,94.21
438.1,harvest,mon_L3_00,282.7,126.24,0.01
438.1,harvest,mon_L3_01,282.2,94.28,94.28
440.1,harvest,mon_L3_00,283.6,126.23,0.01
440.1,harvest,mon_L3_01,284.5,94.25,94.25
442.1,harvest,mon_L3_00,276.9,126.03,0.01
442.1,harvest,mon_L3_01,268.8,94.31,94.31
444.1,harvest,mon_L3_00,282.7,126.32,0.01
444.1,harvest,mon_L3_01,281.5,94.07,94.07
446.1,harvest,mon_L3_00,271.1,126.46,0.01
446.1,harvest,mon_L3_01,280.5,94.09,94.09
448.1,harvest,mon_L3_00,273.5,126.95,0.01
448.1,harvest,mon_L3_01,281.8,93.42,93.42
450.1,harvest,mon_L3_00,273.6,127.10,0.00
450.1,harvest,mon_L3_01,280.5,93.40,93.40
452.1,harvest,mon_L3_00,278.1,127.03,0.01
452.1,harvest,mon_L3_01,280.4,93.36,93.36
454.1,harvest,mon_L3_00,274.9,127.30,0.01
454.1,harvest,mon_L3_01,280.3,93.21,93.21
456.1,harvest,mon_L3_00,278.1,127.46,0.01
456.1,harvest,mon_L3_01,278.8,93.36,93.36
458.1,harvest,mon_L3_00,276.0,127.18,0.00
458.1,harvest,mon_L3_01,277.7,93.29,93.29
460.1,harvest,mon_L3_00,278.7,127.29,0.01
460.1,harvest,mon_L3_01,280.8,93.33,93.33
462.1,harvest,mon_L3_00,280.8,126.74,0.01
462.1,harvest,mon_L3_01,281.7,93.72,93.71
464.1,harvest,mon_L3_00,273.6,127.28,0.00
464.1,harvest,mon_L3_01,279.3,93.15,93.15
466.1,harvest,mon_L3_00,280.5,127.18,0.01
466.1,harvest,mon_L3_01,282.3,93.38,93.38
468.1,harvest,mon_L3_00,265.5,126.82,0.01
468.1,harvest,mon_L3_01,282.0,93.42,93.42
470.1,harvest,mon_L3_00,274.8,127.67,0.00
470.1,harvest,mon_L3_01,276.6,92.48,92.48
472.1,harvest,mon_L3_00,286.2,126.34,0.00
472.1,harvest,mon_L3_01,278.4,94.19,94.19
474.1,harvest,mon_L3_00,281.7,126.28,0.01
474.1,harvest,mon_L3_01,282.0,94.21,94.21
476.1,harvest,mon_L3_00,280.8,126.33,0.01
476.1,harvest,mon_L3_01,276.2,94.32,94.31
478.1,harvest,mon_L3_00,280.5,126.26,0.01
478.1,harvest,mon_L3_01,280.7,94.45,94.45
480.1,harvest,mon_L3_00,280.7,126.26,0.01
480.1,harvest,mon_L3_01,280.0,94.40,94.40
482.1,harvest,mon_L3_00,282.0,126.55,0.00
482.1,harvest,mon_L3_01,280.3,94.15,94.15
484.1,harvest,mon_L3_00,285.7,126.23,0.01
484.1,harvest,mon_L3_01,284.4,94.30,94.29
486.1,harvest,mon_L3_00,279.3,126.48,0.01
486.1,harvest,mon_L3_01,282.3,94.28,94.28
488.1,harvest,mon_L3_00,282.4,126.32,0.01
488.1,harvest,mon_L3_01,279.8,94.30,94.30
490.1,harvest,mon_L3_00,284.1,126.22,0.01
490.1,harvest,mon_L3_01,282.9,94.27,94.27
492.1,harvest,mon_L3_00,283.0,126.46,0.01
492.1,harvest,mon_L3_01,283.9,94.18,94.18
494.1,harvest,mon_L3_00,281.7,126.33,0.01
494.1,harvest,mon_L3_01,278.8,94.16,94.16
